,bat_team_Chennai Super Kings,bat_team_Delhi Daredevils,bat_team_Kings XI Punjab,bat_team_Kolkata Knight Riders,bat_team_Mumbai Indians,bat_team_Rajasthan Royals,bat_team_Royal Challengers Bangalore,bat_team_Sunrisers Hyderabad,bowl_team_Chennai Super Kings,bowl_team_Delhi Daredevils,bowl_team_Kings XI Punjab,bowl_team_Kolkata Knight Riders,bowl_team_Mumbai Indians,bowl_team_Rajasthan Royals,bowl_team_Royal Challengers Bangalore,bowl_team_Sunrisers Hyderabad,overs,runs,wickets,runs_last_5,wickets_last_5
331,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13.4,86,6,36,2
332,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13.5,87,6,36,2
333,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13.6,87,6,35,2
334,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.1,93,6,40,2
335,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.2,93,7,39,3
336,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.3,93,7,38,3
337,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.4,94,7,38,3
338,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.5,95,7,38,3
339,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.6,96,7,39,3
340,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.1,96,7,39,3
341,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.2,96,7,39,2
342,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.3,100,7,42,2
343,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.4,100,7,42,2
344,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.5,104,7,45,2
345,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.6,106,7,41,2
346,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.1,107,7,38,2
347,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.2,107,7,37,2
348,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.3,108,7,38,2
349,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.4,108,7,37,2
350,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.5,109,7,38,2
351,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.6,110,7,39,1
352,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17.1,110,8,35,2
353,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17.2,110,8,34,2
354,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17.3,110,8,32,2
355,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17.4,110,8,32,2
356,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17.5,111,8,32,2
357,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17.6,111,8,31,2
358,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18.1,111,8,27,2
359,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18.2,112,8,27,2
360,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18.3,116,8,30,2
